"";"party_bls";"partido_yuri";"media_bls";"media_bolonhesi";"classificacao_media_bls";"classificacao_media_bolonhesi";"posicao_yuri";"ideologia_final"
"1";"CID";"Cidadania";5,30769230769231;NA;"Centro";NA;"Centro-esquerda";"Centro"
"2";"DEM";"DEM";7,89041095890411;8,57;"Direita";"Extrema Direita";"Centro-direita";"Direita"
"3";"MDB";"MDB";5,91150442477876;7,01;"Centro-Direita";"Direita";"Centro";"Centro-Direita"
"4";"NOVO";"Novo";8,46376811594203;8,13;"Direita";"Direita";"Direita";"Direita"
"5";"PCB";NA;1,92380952380952;NA;"Esquerda";NA;NA;"Esquerda"
"6";"PCDOB";"PCdoB";1,98253833049404;1,92;"Esquerda";"Esquerda";"Esquerda";"Esquerda"
"7";"PDC";NA;7,42926829268293;NA;"Direita";NA;NA;"Direita"
"8";"PDS";NA;8,47417840375587;NA;"Direita";NA;NA;"Direita"
"9";"PDT";"PDT";3,6443661971831;3,92;"Centro-Esquerda";"Centro-Esquerda";"Centro-esquerda";"Centro-Esquerda"
"10";"PFL";NA;7,84331210191083;NA;"Direita";NA;NA;"Direita"
"11";"PL";"PL";7,247990815155;NA;"Direita";NA;"Centro-direita";"Direita"
"12";"PMDB";NA;5,65180824222036;NA;"Centro-Direita";NA;NA;"Centro-Direita"
"13";"PODE";"Podemos";7,01538461538462;7,24;"Direita";"Direita";"Centro-direita";"Direita"
"14";"PP";"PP";6,29936305732484;NA;"Centro-Direita";NA;"Centro-direita";"Centro-Direita"
"15";"PPR";NA;7,74691358024691;NA;"Direita";NA;NA;"Direita"
"16";"PPS";NA;3,91592427616926;NA;"Centro-Esquerda";NA;NA;"Centro-Esquerda"
"17";"PP_PPB";NA;7,87458193979933;NA;"Direita";NA;NA;"Direita"
"18";"PR";NA;6,94412607449857;NA;"Direita";NA;NA;"Direita"
"19";"PRB";"PRB";6,88775510204082;7,78;"Direita";"Direita";"Centro-direita";"Direita"
"20";"PRN";NA;7,81593406593406;NA;"Direita";NA;NA;"Direita"
"21";"PROS";"PROS";5,57142857142857;NA;"Centro-Direita";NA;"Centro";"Centro-Direita"
"22";"PSB";"PSB";3,19851213782303;4,05;"Esquerda";"Centro-Esquerda";"Centro-esquerda";"Esquerda"
"23";"PSC";"PSC";7,5;8,33;"Direita";"Direita";"Extrema-direita";"Direita"
"24";"PSD";"PSD";6,67716535433071;7,09;"Direita";"Direita";"Centro";"Direita"
"25";"PSDB";"PSDB";5,54559625876851;7,11;"Centro-Direita";"Direita";"Centro";"Centro-Direita"
"26";"PSL";"PSL";8,84070796460177;8,11;"Extrema Direita";"Direita";"Direita";"Extrema Direita"
"27";"PSOL";"PSOL";1,65643564356436;1,28;"Esquerda";"Extrema Esquerda";"Esquerda";"Esquerda"
"28";"PSTU";NA;2,09433962264151;NA;"Esquerda";NA;NA;"Esquerda"
"29";"PT";"PT";2,52182385035074;2,97;"Esquerda";"Esquerda";"Esquerda";"Esquerda"
"30";"PTB";"PTB";6,80023828435266;6,1;"Direita";"Centro-Direita";"Extrema-direita";"Direita"
"31";"PTN";NA;6,73913043478261;NA;"Direita";NA;NA;"Direita"
"32";"PV";"PV";4,73489010989011;5,29;"Centro";"Centro";"Centro-esquerda";"Centro"
"33";"REDE";"Rede";3,05607476635514;4,77;"Esquerda";"Centro";"Centro-esquerda";"Esquerda"
"34";"REP";"Republicanos";7,69026548672566;NA;"Direita";NA;"Direita";"Direita"
"35";"SD";"Solidariedade";5,875;NA;"Centro-Direita";NA;"Centro-esquerda";"Centro-Direita"
"36";"PPL";"PPL";NA;7,27;NA;"Direita";"Centro-esquerda";"Direita"
"37";NA;"PAN";NA;NA;NA;NA;"Centro";"Direita"
"38";"AVANTE";"Avante";NA;6,32;NA;"Centro-Direita";"Centro";"Centro-Direita"
"39";"PMN";"PMN";NA;6,88;NA;"Direita";"Centro-direita";"Direita"
"40";"PHS";"PHS";NA;6,96;NA;"Direita";"Centro-direita";"Direita"
"41";"PTC";"PTC";NA;7,86;NA;"Direita";"Centro-direita";"Direita"
"42";"PMB";"PMB";NA;6,9;NA;"Direita";"Centro-direita";"Direita"
"43";"UNIÃO";"União";NA;NA;NA;NA;"Centro-direita";"Direita"
"44";"DC";"DC";NA;8,11;NA;"Direita";"Centro-direita";"Direita"
"45";"PRP";"PRP";NA;7,59;NA;"Direita";"Direita";"Direita"
"46";"PATRIOTA";"Patriota";NA;8,55;NA;"Extrema Direita";"Direita";"Extrema Direita"
"47";"PRONA";"PRONA";NA;NA;NA;NA;"Direita";"Direita"
"48";"PRTB";"PRTB";NA;7,45;NA;"Direita";"Extrema-direita";"Direita"
"49";NA;"Sem_Partido";NA;NA;NA;NA;NA;NA
